time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
278,249856,122,21.03,0.92,896,0.0001,0.016357421875,0.22357398,1210,-0.4756769109517336,-0.001497117411054205,0.0026574708,0.2,0.0427183099091053,0.08156003828044049
279,251904,123,21.52,0.9,900,0.0001,0.0283203125,0.45365667,1220,-0.4539213820360601,-0.0026130541424208785,0.0072208345,0.2,0.00461914949119091,0.04103433030541055
280,253952,124,20.63,0.84,903,0.0001,0.02568359375,0.35304588,1230,-0.4750060705468059,-0.0012676145503064617,0.00500046,0.2,0.06870727986097336,0.056991078570717946
282,256000,125,21.51,0.9,907,0.0001,0.008447265625,0.39109415,1240,-0.4765250746160746,-0.0005463288849568926,0.0047584213,0.2,0.043339282274246216,0.06104849542607553
283,258048,126,22.76,0.94,910,0.0001,0.07333984375,0.44567066,1250,-0.4585514711216092,-0.006642333967465675,0.008873651,0.2,0.02596098557114601,0.0484223261475563
284,260096,127,21.05,0.92,913,0.0001,0.02646484375,0.44316876,1260,-0.49980565095320345,-0.0021111606998601927,0.005541982,0.2,0.055282268673181534,0.04400514799635857
285,262144,128,20.85,0.92,917,0.0001,0.055419921875,0.51325095,1270,-0.4708477212116122,-0.004997685926355189,0.008487052,0.2,-0.0039154402911663055,0.04043349144048989
286,264192,129,20.35,0.9,920,0.0001,0.013232421875,0.4849,1280,-0.48919100081548095,-0.0008345278110937215,0.002802041,0.2,0.017584146931767464,0.043533465405926106
288,266240,130,20.66,0.84,924,0.0001,0.0255859375,0.40015537,1290,-0.46480204686522486,-0.0019314122320793104,0.0067736045,0.2,0.04367445409297943,0.05237929029972292
289,268288,131,22.21,0.82,927,0.0001,0.00419921875,0.4105425,1300,-0.44784372132271527,-0.00040615585203340743,0.0008434847,0.2,0.03076118230819702,0.05785827818908729
290,270336,132,20.75,0.9,930,0.0001,0.00380859375,0.3351769,1310,-0.4697220682166517,-0.0009197093990223948,0.0009715021,0.2,0.07432252168655396,0.062038721970748154
